kernel_major,kernel_minor,kernel_patch,suid_pkexec,suid_su,suid_sudo,suid_mount,suid_passwd,suid_chsh,suid_total_count,sudo_has_all,sudo_has_nopasswd,euid_is_root,risk_label,kernel_flavor_debian,kernel_flavor_kali-amd64,kernel_flavor_rhel,kernel_flavor_standard,kernel_flavor_ubuntu
6,12,2,1,1,1,1,1,1,46,1,0,0,2,0,0,0,0,1
6,10,2,1,1,1,1,1,1,49,1,0,0,2,0,1,0,0,0
6,14,0,0,1,1,0,1,0,14,0,0,0,0,0,0,0,1,0
5,21,7,0,1,1,0,1,0,11,0,0,0,0,0,0,0,1,0
6,21,7,0,1,1,0,1,0,19,0,0,0,0,0,0,0,1,0
5,10,6,0,1,1,1,1,1,20,0,0,0,1,0,0,0,0,1
5,11,4,1,1,1,1,1,1,30,0,1,0,2,0,0,0,0,1
6,19,0,0,1,1,1,1,1,34,1,0,0,1,0,0,0,0,1
6,0,3,1,1,1,1,1,1,55,0,0,0,2,0,1,0,0,0
5,12,6,0,1,1,0,1,0,14,0,0,0,0,0,0,0,1,0
5,5,7,0,1,1,1,1,1,30,0,0,0,1,0,0,0,0,1
5,4,3,1,1,1,1,1,1,45,1,1,0,2,0,1,0,0,0
6,5,3,0,1,1,1,1,1,25,0,0,0,1,1,0,0,0,0
4,5,2,1,1,1,1,1,1,40,1,1,0,2,0,1,0,0,0
6,21,5,0,1,1,0,1,0,11,0,0,0,0,0,0,1,0,0
4,17,2,1,1,1,1,1,1,37,0,1,0,2,0,0,0,0,1
5,17,3,0,1,1,1,1,1,50,0,0,0,2,0,1,0,0,0
6,16,8,1,1,1,1,1,1,28,0,0,0,1,0,0,0,0,1
6,10,9,0,1,1,0,1,0,13,0,0,0,0,0,0,0,1,0
6,18,3,0,1,1,0,1,0,16,0,0,0,0,0,0,1,0,0
5,3,1,1,1,1,1,1,1,58,1,0,0,2,0,1,0,0,0
4,8,6,1,1,1,1,1,1,32,1,0,0,2,0,1,0,0,0
5,1,7,1,1,1,1,1,1,34,0,0,0,2,0,0,0,0,1
4,10,4,0,1,1,1,1,1,40,1,0,0,2,0,0,0,0,1
6,9,4,1,1,1,1,1,1,53,1,1,0,2,0,1,0,0,0
5,13,9,0,1,1,0,1,0,14,0,0,0,0,0,0,0,1,0
4,12,4,0,1,1,1,1,1,34,0,0,0,2,0,1,0,0,0
5,7,2,0,1,1,1,1,1,58,0,0,0,2,0,0,0,0,1
4,4,1,1,1,1,1,1,1,53,1,1,0,2,0,0,0,0,1
6,5,0,1,1,1,1,1,1,53,1,0,0,2,0,0,0,0,1
6,5,7,0,1,1,1,1,1,58,0,1,0,2,0,1,0,0,0
5,9,2,0,1,1,1,1,1,34,0,0,0,1,0,0,0,0,1
6,12,5,0,1,1,1,1,1,31,1,1,0,2,0,1,0,0,0
6,15,6,1,1,1,1,1,1,36,1,0,0,2,0,0,0,0,1
5,18,4,0,1,1,0,1,0,11,0,0,0,0,0,0,1,0,0
6,10,9,0,1,1,0,1,0,19,0,0,0,0,0,0,1,0,0
5,14,1,0,1,1,0,1,0,18,0,0,0,0,0,0,0,1,0
5,14,7,0,1,1,0,1,0,15,0,0,0,0,0,0,1,0,0
5,4,5,1,1,1,1,1,1,34,1,0,0,2,0,0,0,0,1
6,12,11,0,1,1,0,1,0,17,0,0,0,0,0,0,1,0,0
6,3,1,0,1,1,1,1,1,45,1,1,0,2,0,1,0,0,0
5,16,6,0,1,1,0,1,0,11,0,0,0,0,0,0,1,0,0
4,16,3,1,1,1,1,1,1,49,1,0,0,2,0,0,0,0,1
5,6,8,0,1,1,1,1,1,29,0,0,0,1,1,0,0,0,0
6,7,1,1,1,1,1,1,1,43,1,1,0,2,0,1,0,0,0
6,21,3,0,1,1,0,1,0,14,0,0,0,0,0,0,1,0,0
5,21,1,0,1,1,0,1,0,18,0,0,0,0,0,0,1,0,0
6,17,7,0,1,1,0,1,0,11,0,0,0,0,0,0,0,1,0
5,8,5,0,1,1,1,1,1,29,1,0,0,1,0,0,0,0,1
6,7,8,0,1,1,1,1,1,29,0,0,0,1,1,0,0,0,0
6,8,2,0,1,1,1,1,1,31,0,0,0,1,1,0,0,0,0
6,18,9,1,1,1,1,1,1,33,0,0,0,1,1,0,0,0,0
5,17,3,0,1,1,1,1,1,46,0,0,0,2,0,1,0,0,0
4,8,5,1,1,1,1,1,1,30,1,0,0,2,0,1,0,0,0
6,13,4,0,1,1,1,1,1,19,1,0,0,1,1,0,0,0,0
5,9,6,1,1,1,1,1,1,33,0,0,0,1,1,0,0,0,0
6,15,0,0,1,1,0,1,0,18,0,0,0,0,0,0,0,1,0
